id,city,month,avg_high_tem,avg_low_tem,extreme_high_tem,extreme_low_tem,avg_air_quality,best_air,best_air_date,worst_air,worst_air_date
1,鞍山,2022年04月历史天气,19℃,9℃,26℃,1℃,72,16,04/30,128,04/17
2,鞍山,2022年03月历史天气,9℃,0℃,19℃,-6℃,69,18,03/16,120,03/04
3,鞍山,2022年02月历史天气,0℃,-8℃,10℃,-16℃,78,18,02/26,138,02/10
4,鞍山,2022年01月历史天气,-1℃,-10℃,7℃,-15℃,137,33,01/10,242,01/21
5,鞍山,2021年12月历史天气,0℃,-6℃,10℃,-19℃,104,18,12/12,190,12/14
6,鞍山,2021年11月历史天气,6℃,0℃,20℃,-7℃,103,16,11/22,191,11/16
7,鞍山,2021年10月历史天气,16℃,8℃,22℃,-1℃,78,19,10/13,138,10/25
8,鞍山,2021年09月历史天气,24℃,16℃,30℃,11℃,63,14,09/21,113,09/24
9,鞍山,2021年08月历史天气,27℃,20℃,31℃,18℃,82,16,08/20,149,08/31
10,鞍山,2021年07月历史天气,30℃,23℃,35℃,20℃,33,9,07/16,57,07/07
11,鞍山,2021年06月历史天气,26℃,18℃,32℃,14℃,64,14,06/02,115,06/07
12,鞍山,2021年05月历史天气,23℃,14℃,31℃,8℃,83,18,05/15,149,05/21
13,鞍山,2021年04月历史天气,17℃,8℃,27℃,2℃,125,20,04/12,231,04/09
14,鞍山,2021年03月历史天气,10℃,2℃,21℃,-10℃,273,46,03/05,500,03/29
15,鞍山,2021年02月历史天气,3℃,-4℃,26℃,-17℃,108,33,02/07,184,02/19
16,鞍山,2021年01月历史天气,-3℃,-10℃,8℃,-22℃,202,28,01/29,377,01/26
17,鞍山,2020年12月历史天气,-1℃,-8℃,5℃,-19℃,86,31,12/14,141,12/09
18,鞍山,2020年11月历史天气,7℃,0℃,22℃,-8℃,151,23,11/27,279,11/16
19,鞍山,2020年10月历史天气,16℃,7℃,23℃,1℃,98,22,10/03,174,10/29
20,鞍山,2020年09月历史天气,22℃,14℃,29℃,7℃,59,14,09/09,105,09/25
21,鞍山,2020年08月历史天气,28℃,22℃,32℃,16℃,55,12,08/31,99,08/30
22,鞍山,2020年07月历史天气,29℃,22℃,34℃,19℃,45,13,07/06,77,07/01
23,鞍山,2020年06月历史天气,28℃,20℃,34℃,13℃,55,20,06/02,90,06/08
24,鞍山,2020年05月历史天气,22℃,13℃,31℃,6℃,113,30,05/18,196,05/10
25,鞍山,2020年04月历史天气,16℃,6℃,25℃,-1℃,165,47,04/19,283,04/06
26,鞍山,2020年03月历史天气,9℃,0℃,19℃,-5℃,125,32,03/26,219,03/20
27,鞍山,2020年02月历史天气,2℃,-6℃,13℃,-17℃,124,35,02/04,213,02/21
28,鞍山,2020年01月历史天气,-1℃,-9℃,5℃,-14℃,270,40,01/12,500,01/01
29,鞍山,2019年12月历史天气,0℃,-7℃,8℃,-17℃,135,24,12/05,246,12/29
30,鞍山,2019年11月历史天气,6℃,-1℃,15℃,-9℃,75,28,11/07,122,11/04
31,鞍山,2019年10月历史天气,17℃,7℃,29℃,0℃,108,16,10/10,201,10/19
32,鞍山,2019年09月历史天气,25℃,16℃,30℃,10℃,124,17,09/05,232,09/29
33,鞍山,2019年08月历史天气,28℃,21℃,33℃,17℃,44,10,08/13,78,08/25
34,鞍山,2019年07月历史天气,31℃,23℃,36℃,18℃,55,11,07/23,100,07/09
35,鞍山,2019年06月历史天气,27℃,18℃,32℃,15℃,54,15,06/09,94,06/05
36,鞍山,2019年05月历史天气,26℃,15℃,35℃,7℃,75,16,05/27,134,05/09
37,鞍山,2019年04月历史天气,17℃,7℃,26℃,0℃,71,16,04/29,126,04/22
38,鞍山,2019年03月历史天气,11℃,1℃,21℃,-3℃,184,32,03/17,336,03/04
39,鞍山,2019年02月历史天气,1℃,-6℃,12℃,-17℃,179,56,02/15,302,02/22
40,鞍山,2019年01月历史天气,0℃,-8℃,6℃,-13℃,185,51,01/19,319,01/12
41,鞍山,2018年12月历史天气,-1℃,-8℃,11℃,-18℃,73,29,12/02,117,12/31
42,鞍山,2018年11月历史天气,8℃,0℃,19℃,-6℃,126,26,11/15,226,11/26
43,鞍山,2018年10月历史天气,16℃,7℃,25℃,0℃,75,27,10/01,124,10/20
44,鞍山,2018年09月历史天气,24℃,14℃,29℃,7℃,25,23,09/25,28,09/01
45,鞍山,2018年08月历史天气,29℃,22℃,39℃,19℃,34,19,08/01,50,08/03
46,鞍山,2018年07月历史天气,31℃,24℃,36℃,19℃,45,13,07/01,78,07/02
47,鞍山,2018年06月历史天气,28℃,20℃,34℃,15℃,49,16,06/10,82,06/24
48,鞍山,2018年05月历史天气,24℃,14℃,30℃,9℃,61,16,05/02,107,05/10
49,鞍山,2018年04月历史天气,18℃,8℃,29℃,-3℃,63,17,04/06,110,04/21
50,鞍山,2018年03月历史天气,9℃,0℃,22℃,-11℃,105,22,03/20,188,03/23
51,鞍山,2018年02月历史天气,-1℃,-9℃,7℃,-17℃,99,30,02/02,169,02/09
52,鞍山,2018年01月历史天气,-4℃,-12℃,4℃,-21℃,63,25,01/10,102,01/14
53,鞍山,2017年12月历史天气,-1℃,-9℃,7℃,-16℃,132,22,12/10,243,12/14
54,鞍山,2017年11月历史天气,6℃,-2℃,18℃,-12℃,56,0,11/01,113,11/21
55,鞍山,2017年10月历史天气,14℃,6℃,24℃,-2℃,0,0,10/01,0,10/01
56,鞍山,2017年09月历史天气,25℃,16℃,30℃,8℃,0,0,09/01,0,09/01
57,鞍山,2017年08月历史天气,28℃,21℃,34℃,11℃,0,0,08/01,0,08/01
58,鞍山,2017年07月历史天气,32℃,24℃,35℃,20℃,0,0,07/01,0,07/01
59,鞍山,2017年06月历史天气,29℃,19℃,35℃,12℃,0,0,06/01,0,06/01
60,鞍山,2017年05月历史天气,25℃,15℃,33℃,9℃,0,0,05/01,0,05/01
61,鞍山,2017年04月历史天气,19℃,9℃,28℃,4℃,0,0,04/01,0,04/01
62,鞍山,2017年03月历史天气,10℃,0℃,16℃,-8℃,0,0,03/01,0,03/01
63,鞍山,2017年02月历史天气,1℃,-6℃,10℃,-12℃,0,0,02/01,0,02/01
64,鞍山,2017年01月历史天气,-2℃,-10℃,6℃,-17℃,0,0,01/01,0,01/01
65,鞍山,2016年12月历史天气,0℃,-7℃,11℃,-15℃,0,0,12/01,0,12/01
66,鞍山,2016年11月历史天气,5℃,-2℃,16℃,-12℃,0,0,11/01,0,11/01
67,鞍山,2016年10月历史天气,15℃,6℃,26℃,-6℃,0,0,10/01,0,10/01
68,鞍山,2016年09月历史天气,24℃,16℃,28℃,7℃,0,0,09/01,0,09/01
69,鞍山,2016年08月历史天气,29℃,21℃,35℃,14℃,0,0,08/01,0,08/01
70,鞍山,2016年07月历史天气,30℃,22℃,34℃,19℃,0,0,07/01,0,07/01
71,鞍山,2016年06月历史天气,28℃,19℃,31℃,16℃,0,0,06/01,0,06/01
72,鞍山,2016年05月历史天气,24℃,14℃,29℃,9℃,0,0,05/01,0,05/01
73,鞍山,2016年04月历史天气,17℃,8℃,24℃,3℃,0,0,04/01,0,04/01
74,鞍山,2016年03月历史天气,10℃,1℃,22℃,-8℃,0,0,03/01,0,03/01
75,鞍山,2016年02月历史天气,0℃,-5℃,9℃,-12℃,0,0,02/01,0,02/01
76,鞍山,2016年01月历史天气,-5℃,-13℃,6℃,-21℃,0,0,01/01,0,01/01
77,鞍山,2015年12月历史天气,0℃,-5℃,8℃,-16℃,0,0,12/01,0,12/01
78,鞍山,2015年11月历史天气,3℃,-2℃,20℃,-14℃,0,0,11/01,0,11/01
79,鞍山,2015年10月历史天气,17℃,7℃,27℃,-2℃,0,0,10/01,0,10/01
80,鞍山,2015年09月历史天气,25℃,16℃,30℃,12℃,0,0,09/01,0,09/01
81,鞍山,2015年08月历史天气,28℃,20℃,33℃,17℃,0,0,08/01,0,08/01
82,鞍山,2015年07月历史天气,30℃,22℃,35℃,16℃,0,0,07/01,0,07/01
83,鞍山,2015年06月历史天气,27℃,18℃,32℃,15℃,0,0,06/01,0,06/01
84,鞍山,2015年05月历史天气,24℃,15℃,32℃,9℃,0,0,05/01,0,05/01
85,鞍山,2015年04月历史天气,18℃,8℃,30℃,-2℃,0,0,04/01,0,04/01
86,鞍山,2015年03月历史天气,9℃,0℃,20℃,-10℃,0,0,03/01,0,03/01
87,鞍山,2015年02月历史天气,1℃,-6℃,8℃,-15℃,0,0,02/01,0,02/01
88,鞍山,2015年01月历史天气,-1℃,-9℃,5℃,-15℃,0,0,01/01,0,01/01
89,鞍山,2014年12月历史天气,-2℃,-9℃,6℃,-15℃,0,0,12/01,0,12/01
90,鞍山,2014年11月历史天气,9℃,0℃,17℃,-6℃,0,0,11/01,0,11/01
91,鞍山,2014年10月历史天气,18℃,8℃,24℃,-1℃,0,0,10/01,0,10/01
92,鞍山,2014年09月历史天气,25℃,14℃,31℃,2℃,0,0,09/01,0,09/01
93,鞍山,2014年08月历史天气,30℃,21℃,34℃,18℃,0,0,08/01,0,08/01
94,鞍山,2014年07月历史天气,30℃,22℃,34℃,20℃,0,0,07/01,0,07/01
95,鞍山,2014年06月历史天气,28℃,19℃,33℃,16℃,0,0,06/01,0,06/01
96,鞍山,2014年05月历史天气,24℃,14℃,34℃,4℃,0,0,05/01,0,05/01
97,鞍山,2014年04月历史天气,20℃,10℃,27℃,2℃,0,0,04/01,0,04/01
98,鞍山,2014年03月历史天气,10℃,1℃,21℃,-8℃,0,0,03/01,0,03/01
99,鞍山,2014年02月历史天气,1℃,-6℃,13℃,-15℃,0,0,02/01,0,02/01
100,鞍山,2014年01月历史天气,0℃,-9℃,6℃,-16℃,0,0,01/01,0,01/01
101,鞍山,2013年12月历史天气,0℃,-7℃,9℃,-14℃,0,0,12/01,0,12/01
102,鞍山,2013年11月历史天气,7℃,0℃,16℃,-9℃,0,0,11/01,0,11/01
103,鞍山,2013年10月历史天气,17℃,8℃,26℃,0℃,0,0,10/01,0,10/01
104,鞍山,2013年09月历史天气,24℃,15℃,28℃,8℃,0,0,09/01,0,09/01
105,鞍山,2013年08月历史天气,29℃,22℃,33℃,13℃,0,0,08/01,0,08/01
106,鞍山,2013年07月历史天气,29℃,22℃,33℃,20℃,0,0,07/01,0,07/01
107,鞍山,2013年06月历史天气,28℃,19℃,31℃,15℃,0,0,06/01,0,06/01
108,鞍山,2013年05月历史天气,25℃,15℃,31℃,8℃,0,0,05/01,0,05/01
109,鞍山,2013年04月历史天气,12℃,3℃,21℃,-2℃,0,0,04/01,0,04/01
110,鞍山,2013年03月历史天气,5℃,-2℃,11℃,-9℃,0,0,03/01,0,03/01
111,鞍山,2013年02月历史天气,-1℃,-9℃,8℃,-19℃,0,0,02/01,0,02/01
112,鞍山,2013年01月历史天气,-5℃,-13℃,5℃,-19℃,0,0,01/01,0,01/01
113,鞍山,2012年12月历史天气,-5℃,-13℃,3℃,-20℃,0,0,12/01,0,12/01
114,鞍山,2012年11月历史天气,5℃,-2℃,14℃,-9℃,0,0,11/01,0,11/01
115,鞍山,2012年10月历史天气,16℃,6℃,24℃,-3℃,0,0,10/01,0,10/01
116,鞍山,2012年09月历史天气,23℃,14℃,30℃,7℃,0,0,09/01,0,09/01
117,鞍山,2012年08月历史天气,28℃,20℃,32℃,13℃,0,0,08/01,0,08/01
118,鞍山,2012年07月历史天气,28℃,21℃,32℃,18℃,0,0,07/01,0,07/01
119,鞍山,2012年06月历史天气,27℃,19℃,30℃,15℃,0,0,06/01,0,06/01
120,鞍山,2012年05月历史天气,25℃,15℃,30℃,9℃,0,0,05/01,0,05/01
121,鞍山,2012年04月历史天气,20℃,9℃,24℃,3℃,0,0,04/01,0,04/01
122,鞍山,2012年03月历史天气,6℃,-3℃,18℃,-10℃,0,0,03/01,0,03/01
123,鞍山,2012年02月历史天气,-1℃,-10℃,7℃,-19℃,0,0,02/01,0,02/01
124,鞍山,2012年01月历史天气,-5℃,-14℃,3℃,-20℃,0,0,01/01,0,01/01
125,鞍山,2011年12月历史天气,-2℃,-10℃,5℃,-17℃,0,0,12/01,0,12/01
126,鞍山,2011年11月历史天气,7℃,0℃,20℃,-8℃,0,0,11/01,0,11/01
127,鞍山,2011年10月历史天气,18℃,8℃,23℃,1℃,0,0,10/01,0,10/01
128,鞍山,2011年09月历史天气,23℃,14℃,28℃,5℃,0,0,09/01,0,09/01
129,鞍山,2011年08月历史天气,29℃,22℃,32℃,19℃,0,0,08/01,0,08/01
130,鞍山,2011年07月历史天气,30℃,22℃,32℃,19℃,0,0,07/01,0,07/01
131,鞍山,2011年06月历史天气,27℃,19℃,31℃,16℃,0,0,06/01,0,06/01
132,鞍山,2011年05月历史天气,23℃,13℃,29℃,8℃,0,0,05/01,0,05/01
133,鞍山,2011年04月历史天气,15℃,6℃,23℃,0℃,0,0,04/01,0,04/01
134,鞍山,2011年03月历史天气,7℃,-1℃,19℃,-11℃,0,0,03/01,0,03/01
135,鞍山,2011年02月历史天气,1℃,-7℃,10℃,-15℃,0,0,02/01,0,02/01
136,鞍山,2011年01月历史天气,-8℃,-14℃,3℃,-19℃,0,0,01/01,0,01/01
137,安康,2022年04月历史天气,23℃,11℃,33℃,6℃,38,13,04/28,64,04/12
138,安康,2022年03月历史天气,19℃,8℃,29℃,2℃,68,15,03/21,122,03/15
139,安康,2022年02月历史天气,10℃,1℃,19℃,-1℃,77,36,02/16,119,02/28
140,安康,2022年01月历史天气,8℃,0℃,15℃,-13℃,111,22,01/12,201,01/04
141,安康,2021年12月历史天气,11℃,1℃,16℃,-1℃,94,36,12/01,153,12/24
142,安康,2021年11月历史天气,15℃,6℃,21℃,0℃,67,15,11/06,119,11/28
143,安康,2021年10月历史天气,19℃,12℃,34℃,8℃,53,10,10/06,97,10/19
144,安康,2021年09月历史天气,27℃,19℃,34℃,16℃,43,10,09/26,76,09/15
145,安康,2021年08月历史天气,28℃,22℃,39℃,17℃,27,9,08/09,46,08/03
146,安康,2021年07月历史天气,32℃,23℃,38℃,21℃,42,13,07/10,72,07/14
147,安康,2021年06月历史天气,29℃,21℃,38℃,16℃,33,13,06/18,53,06/06
148,安康,2021年05月历史天气,27℃,16℃,34℃,12℃,38,11,05/16,66,05/04
149,安康,2021年04月历史天气,19℃,11℃,31℃,5℃,45,12,04/25,79,04/17
150,安康,2021年03月历史天气,17℃,8℃,28℃,2℃,109,19,03/11,200,03/16
151,安康,2021年02月历史天气,15℃,4℃,25℃,1℃,135,12,02/25,258,02/11
152,安康,2021年01月历史天气,10℃,1℃,14℃,-2℃,129,29,01/24,230,01/23
153,安康,2020年12月历史天气,7℃,1℃,11℃,-1℃,120,37,12/29,203,12/25
154,安康,2020年11月历史天气,15℃,8℃,23℃,3℃,69,19,11/21,120,11/30
155,安康,2020年10月历史天气,17℃,12℃,22℃,5℃,58,11,10/14,105,10/24
156,安康,2020年09月历史天气,26℃,18℃,35℃,12℃,43,15,09/21,71,09/27
157,安康,2020年08月历史天气,31℃,23℃,38℃,20℃,40,15,08/07,65,08/26
158,安康,2020年07月历史天气,29℃,22℃,35℃,19℃,48,16,07/14,80,07/31
159,安康,2020年06月历史天气,29℃,21℃,37℃,18℃,51,17,06/08,86,06/04
160,安康,2020年05月历史天气,29℃,17℃,34℃,11℃,70,22,05/09,118,05/18
161,安康,2020年04月历史天气,22℃,10℃,32℃,5℃,59,24,04/21,94,04/16
162,安康,2020年03月历史天气,19℃,8℃,26℃,4℃,92,23,03/27,161,03/26
163,安康,2020年02月历史天气,14℃,4℃,19℃,-2℃,77,18,02/27,136,02/20
164,安康,2020年01月历史天气,7℃,1℃,12℃,0℃,114,16,01/06,212,01/18
165,安康,2019年12月历史天气,10℃,3℃,16℃,-2℃,93,47,12/18,140,12/16
166,安康,2019年11月历史天气,13℃,8℃,19℃,4℃,69,14,11/25,125,11/28
167,安康,2019年10月历史天气,18℃,13℃,26℃,10℃,43,11,10/09,76,10/31
168,安康,2019年09月历史天气,25℃,18℃,32℃,15℃,41,10,09/15,73,09/29
169,安康,2019年08月历史天气,32℃,23℃,37℃,20℃,48,14,08/06,83,08/20
170,安康,2019年07月历史天气,31℃,23℃,37℃,20℃,54,23,07/29,85,07/27
171,安康,2019年06月历史天气,28℃,21℃,35℃,19℃,81,16,06/20,147,06/02
172,安康,2019年05月历史天气,25℃,16℃,35℃,11℃,94,23,05/28,165,05/12
173,安康,2019年04月历史天气,25℃,13℃,33℃,8℃,59,11,04/28,107,04/01
174,安康,2019年03月历史天气,18℃,7℃,27℃,3℃,63,21,03/01,105,03/19
175,安康,2019年02月历史天气,8℃,2℃,14℃,-1℃,136,37,02/09,236,02/04
176,安康,2019年01月历史天气,7℃,1℃,14℃,-2℃,140,59,01/26,222,01/11
177,安康,2018年12月历史天气,8℃,2℃,14℃,-2℃,127,36,12/23,218,12/19
178,安康,2018年11月历史天气,14℃,6℃,23℃,2℃,82,15,11/16,149,11/30
179,安康,2018年10月历史天气,21℃,11℃,27℃,5℃,53,33,10/19,74,10/31
180,安康,2018年09月历史天气,26℃,18℃,36℃,13℃,38,35,09/25,41,09/01
181,安康,2018年08月历史天气,34℃,24℃,38℃,19℃,40,23,08/17,58,08/06
182,安康,2018年07月历史天气,33℃,25℃,38℃,23℃,37,14,07/04,60,07/02
183,安康,2018年06月历史天气,31℃,21℃,36℃,18℃,38,12,06/18,64,06/01
184,安康,2018年05月历史天气,25℃,17℃,37℃,13℃,50,17,05/20,83,05/24
185,安康,2018年04月历史天气,25℃,13℃,34℃,7℃,53,13,04/05,94,04/11
186,安康,2018年03月历史天气,19℃,8℃,29℃,2℃,43,13,03/06,73,03/15
187,安康,2018年02月历史天气,12℃,1℃,20℃,-3℃,104,28,02/21,180,02/17
188,安康,2018年01月历史天气,7℃,-1℃,15℃,-6℃,108,20,01/06,197,01/18
189,安康,2017年12月历史天气,10℃,1℃,15℃,-2℃,152,40,12/10,264,12/29
190,安康,2017年11月历史天气,15℃,7℃,22℃,3℃,115,0,11/01,231,11/28
191,安康,2017年10月历史天气,17℃,12℃,24℃,0℃,0,0,10/01,0,10/01
192,安康,2017年09月历史天气,25℃,18℃,30℃,17℃,0,0,09/01,0,09/01
193,安康,2017年08月历史天气,33℃,23℃,39℃,17℃,0,0,08/01,0,08/01
194,安康,2017年07月历史天气,35℃,24℃,41℃,21℃,0,0,07/01,0,07/01
195,安康,2017年06月历史天气,29℃,19℃,35℃,16℃,0,0,06/01,0,06/01
196,安康,2017年05月历史天气,27℃,16℃,34℃,12℃,0,0,05/01,0,05/01
197,安康,2017年04月历史天气,24℃,12℃,30℃,8℃,0,0,04/01,0,04/01
198,安康,2017年03月历史天气,16℃,6℃,24℃,0℃,0,0,03/01,0,03/01
199,安康,2017年02月历史天气,12℃,2℃,20℃,-1℃,0,0,02/01,0,02/01
200,安康,2017年01月历史天气,8℃,2℃,14℃,-1℃,0,0,01/01,0,01/01
201,安康,2016年12月历史天气,11℃,3℃,17℃,0℃,0,0,12/01,0,12/01
202,安康,2016年11月历史天气,14℃,7℃,21℃,1℃,0,0,11/01,0,11/01
203,安康,2016年10月历史天气,19℃,13℃,32℃,7℃,0,0,10/01,0,10/01
204,安康,2016年09月历史天气,28℃,18℃,35℃,16℃,0,0,09/01,0,09/01
205,安康,2016年08月历史天气,34℃,23℃,40℃,18℃,0,0,08/01,0,08/01
206,安康,2016年07月历史天气,33℃,24℃,37℃,21℃,0,0,07/01,0,07/01
207,安康,2016年06月历史天气,30℃,20℃,38℃,16℃,0,0,06/01,0,06/01
208,安康,2016年05月历史天气,26℃,16℃,34℃,11℃,0,0,05/01,0,05/01
209,安康,2016年04月历史天气,23℃,13℃,30℃,10℃,0,0,04/01,0,04/01
210,安康,2016年03月历史天气,17℃,8℃,27℃,2℃,0,0,03/01,0,03/01
211,安康,2016年02月历史天气,13℃,2℃,21℃,-2℃,0,0,02/01,0,02/01
212,安康,2016年01月历史天气,7℃,1℃,15℃,-7℃,0,0,01/01,0,01/01
213,安康,2015年12月历史天气,10℃,2℃,16℃,-2℃,0,0,12/01,0,12/01
214,安康,2015年11月历史天气,14℃,9℃,19℃,2℃,0,0,11/01,0,11/01
215,安康,2015年10月历史天气,22℃,14℃,28℃,6℃,0,0,10/01,0,10/01
216,安康,2015年09月历史天气,26℃,18℃,33℃,16℃,0,0,09/01,0,09/01
217,安康,2015年08月历史天气,32℃,21℃,38℃,19℃,0,0,08/01,0,08/01
218,安康,2015年07月历史天气,32℃,21℃,37℃,19℃,0,0,07/01,0,07/01
219,安康,2015年06月历史天气,28℃,20℃,33℃,16℃,0,0,06/01,0,06/01
220,安康,2015年05月历史天气,27℃,16℃,32℃,12℃,0,0,05/01,0,05/01
221,安康,2015年04月历史天气,23℃,12℃,35℃,5℃,0,0,04/01,0,04/01
222,安康,2015年03月历史天气,17℃,8℃,28℃,2℃,0,0,03/01,0,03/01
223,安康,2015年02月历史天气,12℃,3℃,19℃,-1℃,0,0,02/01,0,02/01
224,安康,2015年01月历史天气,9℃,1℃,13℃,-1℃,0,0,01/01,0,01/01
225,安康,2014年12月历史天气,10℃,1℃,13℃,-2℃,0,0,12/01,0,12/01
226,安康,2014年11月历史天气,14℃,7℃,19℃,5℃,0,0,11/01,0,11/01
227,安康,2014年10月历史天气,21℃,14℃,27℃,12℃,0,0,10/01,0,10/01
228,安康,2014年09月历史天气,25℃,18℃,32℃,16℃,0,0,09/01,0,09/01
229,安康,2014年08月历史天气,30℃,21℃,38℃,18℃,0,0,08/01,0,08/01
230,安康,2014年07月历史天气,33℃,23℃,37℃,20℃,0,0,07/01,0,07/01
231,安康,2014年06月历史天气,29℃,20℃,35℃,18℃,0,0,06/01,0,06/01
232,安康,2014年05月历史天气,25℃,15℃,32℃,10℃,0,0,05/01,0,05/01
233,安康,2014年04月历史天气,22℃,13℃,30℃,10℃,0,0,04/01,0,04/01
234,安康,2014年03月历史天气,19℃,8℃,29℃,2℃,0,0,03/01,0,03/01
235,安康,2014年02月历史天气,9℃,2℃,18℃,-2℃,0,0,02/01,0,02/01
236,安康,2014年01月历史天气,10℃,1℃,17℃,-2℃,0,0,01/01,0,01/01
237,安康,2013年12月历史天气,11℃,1℃,16℃,-2℃,0,0,12/01,0,12/01
238,安康,2013年11月历史天气,15℃,6℃,19℃,0℃,0,0,11/01,0,11/01
239,安康,2013年10月历史天气,24℃,13℃,31℃,10℃,0,0,10/01,0,10/01
240,安康,2013年09月历史天气,27℃,18℃,33℃,13℃,0,0,09/01,0,09/01
241,安康,2013年08月历史天气,33℃,23℃,38℃,20℃,0,0,08/01,0,08/01
242,安康,2013年07月历史天气,33℃,24℃,37℃,22℃,0,0,07/01,0,07/01
243,安康,2013年06月历史天气,31℃,20℃,37℃,16℃,0,0,06/01,0,06/01
244,安康,2013年05月历史天气,26℃,16℃,34℃,13℃,0,0,05/01,0,05/01
245,安康,2013年04月历史天气,25℃,10℃,33℃,4℃,0,0,04/01,0,04/01
246,安康,2013年03月历史天气,19℃,7℃,26℃,2℃,0,0,03/01,0,03/01
247,安康,2013年02月历史天气,11℃,3℃,18℃,-1℃,0,0,02/01,0,02/01
248,安康,2013年01月历史天气,9℃,0℃,16℃,-3℃,0,0,01/01,0,01/01
249,安康,2012年12月历史天气,8℃,1℃,14℃,-4℃,0,0,12/01,0,12/01
250,安康,2012年11月历史天气,13℃,5℃,20℃,1℃,0,0,11/01,0,11/01
251,安康,2012年10月历史天气,20℃,13℃,27℃,9℃,0,0,10/01,0,10/01
252,安康,2012年09月历史天气,25℃,17℃,31℃,14℃,0,0,09/01,0,09/01
253,安康,2012年08月历史天气,31℃,22℃,35℃,18℃,0,0,08/01,0,08/01
254,安康,2012年07月历史天气,31℃,23℃,37℃,21℃,0,0,07/01,0,07/01
255,安康,2012年06月历史天气,31℃,21℃,37℃,17℃,0,0,06/01,0,06/01
256,安康,2012年05月历史天气,25℃,17℃,32℃,14℃,0,0,05/01,0,05/01
257,安康,2012年04月历史天气,24℃,11℃,30℃,7℃,0,0,04/01,0,04/01
258,安康,2012年03月历史天气,15℃,5℃,26℃,2℃,0,0,03/01,0,03/01
259,安康,2012年02月历史天气,8℃,2℃,13℃,0℃,0,0,02/01,0,02/01
260,安康,2012年01月历史天气,6℃,0℃,10℃,-2℃,0,0,01/01,0,01/01
261,安康,2011年12月历史天气,9℃,2℃,13℃,-2℃,0,0,12/01,0,12/01
262,安康,2011年11月历史天气,15℃,9℃,20℃,5℃,0,0,11/01,0,11/01
263,安康,2011年10月历史天气,20℃,12℃,25℃,9℃,0,0,10/01,0,10/01
264,安康,2011年09月历史天气,23℃,17℃,35℃,11℃,0,0,09/01,0,09/01
265,安康,2011年08月历史天气,31℃,22℃,37℃,19℃,0,0,08/01,0,08/01
266,安康,2011年07月历史天气,31℃,22℃,36℃,20℃,0,0,07/01,0,07/01
267,安康,2011年06月历史天气,29℃,20℃,38℃,18℃,0,0,06/01,0,06/01
268,安康,2011年05月历史天气,27℃,15℃,36℃,10℃,0,0,05/01,0,05/01
269,安康,2011年04月历史天气,25℃,12℃,34℃,5℃,0,0,04/01,0,04/01
270,安康,2011年03月历史天气,15℃,5℃,22℃,2℃,0,0,03/01,0,03/01
271,安康,2011年02月历史天气,11℃,2℃,20℃,-2℃,0,0,02/01,0,02/01
272,安康,2011年01月历史天气,5℃,-1℃,8℃,-4℃,0,0,01/01,0,01/01
273,阿克苏,2022年04月历史天气,23℃,9℃,30℃,4℃,264,29,04/01,500,04/11
274,阿克苏,2022年03月历史天气,15℃,2℃,21℃,-4℃,274,49,03/27,500,03/18
275,阿克苏,2022年02月历史天气,4℃,-4℃,11℃,-9℃,262,34,02/06,491,02/21
276,阿克苏,2022年01月历史天气,2℃,-10℃,5℃,-14℃,116,33,01/01,199,01/04
277,阿克苏,2021年12月历史天气,2℃,-7℃,12℃,-14℃,108,55,12/09,162,12/21
278,阿克苏,2021年11月历史天气,6℃,-3℃,16℃,-6℃,232,36,11/02,429,11/13
279,阿克苏,2021年10月历史天气,16℃,4℃,27℃,0℃,189,27,10/20,352,10/02
280,阿克苏,2021年09月历史天气,27℃,13℃,32℃,9℃,118,7,09/25,230,09/23
281,阿克苏,2021年08月历史天气,28℃,18℃,34℃,14℃,39,8,08/01,70,08/04
282,阿克苏,2021年07月历史天气,31℃,20℃,39℃,16℃,36,7,07/14,66,07/30
283,阿克苏,2021年06月历史天气,28℃,17℃,33℃,14℃,74,8,06/12,140,06/24
284,阿克苏,2021年05月历史天气,25℃,14℃,34℃,10℃,113,8,05/25,218,05/05
285,阿克苏,2021年04月历史天气,17℃,9℃,30℃,3℃,258,16,04/01,500,04/12
286,阿克苏,2021年03月历史天气,13℃,4℃,20℃,-2℃,265,31,03/31,500,03/01
287,阿克苏,2021年02月历史天气,8℃,-2℃,13℃,-6℃,244,8,02/28,481,02/27
288,阿克苏,2021年01月历史天气,0℃,-11℃,3℃,-19℃,96,8,01/24,185,01/20
289,阿克苏,2020年12月历史天气,0℃,-7℃,7℃,-13℃,105,8,12/09,202,12/05
290,阿克苏,2020年11月历史天气,7℃,-2℃,15℃,-8℃,184,69,11/24,300,11/09
291,阿克苏,2020年10月历史天气,17℃,6℃,20℃,2℃,249,8,10/18,491,10/11
292,阿克苏,2020年09月历史天气,24℃,15℃,32℃,10℃,213,20,09/29,407,09/28
293,阿克苏,2020年08月历史天气,31℃,20℃,36℃,16℃,54,8,08/05,100,08/26
294,阿克苏,2020年07月历史天气,30℃,18℃,35℃,16℃,94,31,07/09,157,07/10
295,阿克苏,2020年06月历史天气,30℃,18℃,35℃,14℃,254,8,06/16,500,06/04
296,阿克苏,2020年05月历史天气,27℃,16℃,33℃,12℃,250,1,05/13,500,05/07
297,阿克苏,2020年04月历史天气,22℃,11℃,31℃,5℃,250,1,04/01,500,04/10
