id,city,month,avg_high_tem,avg_low_tem,extreme_high_tem,extreme_low_tem,avg_air_quality,best_air,best_air_date,worst_air,worst_air_date
37565,西安,2015年09月历史天气,25℃,17℃,32℃,12℃,0,0,09/01,0,09/01
37566,西安,2015年08月历史天气,31℃,21℃,39℃,19℃,0,0,08/01,0,08/01
37567,西安,2015年07月历史天气,33℃,22℃,39℃,19℃,0,0,07/01,0,07/01
37568,西安,2015年06月历史天气,29℃,20℃,35℃,16℃,0,0,06/01,0,06/01
37569,西安,2015年05月历史天气,27℃,16℃,32℃,11℃,0,0,05/01,0,05/01
37570,西安,2015年04月历史天气,21℃,10℃,32℃,5℃,0,0,04/01,0,04/01
37571,西安,2015年03月历史天气,15℃,5℃,25℃,-2℃,0,0,03/01,0,03/01
37572,西安,2015年02月历史天气,9℃,0℃,17℃,-4℃,0,0,02/01,0,02/01
37573,西安,2015年01月历史天气,6℃,-1℃,10℃,-4℃,0,0,01/01,0,01/01
37574,西安,2014年12月历史天气,6℃,-2℃,12℃,-5℃,0,0,12/01,0,12/01
37575,西安,2014年11月历史天气,12℃,4℃,18℃,2℃,0,0,11/01,0,11/01
37576,西安,2014年10月历史天气,20℃,12℃,26℃,8℃,0,0,10/01,0,10/01
37577,西安,2014年09月历史天气,23℃,16℃,30℃,14℃,0,0,09/01,0,09/01
37578,西安,2014年08月历史天气,29℃,20℃,37℃,18℃,0,0,08/01,0,08/01
37579,西安,2014年07月历史天气,34℃,23℃,38℃,20℃,0,0,07/01,0,07/01
37580,西安,2014年06月历史天气,31℃,20℃,37℃,19℃,0,0,06/01,0,06/01
37581,西安,2014年05月历史天气,26℃,15℃,34℃,10℃,0,0,05/01,0,05/01
37582,西安,2014年04月历史天气,21℃,11℃,28℃,7℃,0,0,04/01,0,04/01
37583,西安,2014年03月历史天气,17℃,6℃,27℃,1℃,0,0,03/01,0,03/01
37584,西安,2014年02月历史天气,6℃,0℃,14℃,-4℃,0,0,02/01,0,02/01
37585,西安,2014年01月历史天气,8℃,-1℃,14℃,-4℃,0,0,01/01,0,01/01
